[2026-02-19 19:56:28] SERVER: avvio in corso
[2026-02-19 19:56:28] SERVER: in ascolto sulla porta 8080
[2026-02-19 19:56:28] SERVER: nuova partita pronta, in attesa di giocatori
[2026-02-19 19:56:31] SERVER: connessione da 127.0.0.1 (client #1)
[2026-02-19 19:56:36] SERVER: connessione da 127.0.0.1 (client #2)
[2026-02-19 19:56:37] [fauu@127.0.0.1] AUTH: utente connesso
[2026-02-19 19:56:37] [fauu@127.0.0.1] LOBBY: in attesa (1/2)
[2026-02-19 19:56:40] [ent@127.0.0.1] AUTH: utente connesso
[2026-02-19 19:56:40] [ent@127.0.0.1] LOBBY: in attesa (2/2)
[2026-02-19 19:56:40] LOBBY: tutti pronti, partita in avvio
[2026-02-19 19:56:40] [ent@127.0.0.1] LOBBY: partita avviata, inizio gioco
[2026-02-19 19:56:40] [ent@127.0.0.1] GAME: spawn in (7,23)
[2026-02-19 19:56:40] [ent@127.0.0.1] GAME: mappa iniziale inviata, attesa comandi
[2026-02-19 19:56:40] TIMER: countdown avviato
[2026-02-19 19:56:40] [fauu@127.0.0.1] LOBBY: partita avviata, inizio gioco
[2026-02-19 19:56:40] [fauu@127.0.0.1] GAME: spawn in (8,35)
[2026-02-19 19:56:40] [fauu@127.0.0.1] GAME: mappa iniziale inviata, attesa comandi
[2026-02-19 19:56:41] [ent@127.0.0.1] MOVE: 'W' (pos: 7,23)
[2026-02-19 19:56:41] [ent@127.0.0.1] MOVE: nuova pos (6,23)
[2026-02-19 19:56:42] [ent@127.0.0.1] MOVE: 'W' (pos: 6,23)
[2026-02-19 19:56:42] [ent@127.0.0.1] MOVE: nuova pos (5,23)
[2026-02-19 19:56:43] [ent@127.0.0.1] MOVE: 'D' (pos: 5,23)
[2026-02-19 19:56:43] [ent@127.0.0.1] MOVE: nuova pos (5,24)
[2026-02-19 19:56:43] [ent@127.0.0.1] MOVE: 'D' (pos: 5,24)
[2026-02-19 19:56:43] [ent@127.0.0.1] MOVE: nuova pos (5,25)
[2026-02-19 19:56:43] [ent@127.0.0.1] MOVE: 'W' (pos: 5,25)
[2026-02-19 19:56:43] [ent@127.0.0.1] MOVE: nuova pos (4,25)
[2026-02-19 19:56:44] [ent@127.0.0.1] MOVE: 'W' (pos: 4,25)
[2026-02-19 19:56:44] [ent@127.0.0.1] MOVE: nuova pos (3,25)
[2026-02-19 19:56:44] [ent@127.0.0.1] MOVE: 'D' (pos: 3,25)
[2026-02-19 19:56:44] [ent@127.0.0.1] MOVE: nuova pos (3,26)
[2026-02-19 19:56:44] [ent@127.0.0.1] MOVE: 'D' (pos: 3,26)
[2026-02-19 19:56:44] [ent@127.0.0.1] MOVE: nuova pos (3,27)
[2026-02-19 19:56:45] [ent@127.0.0.1] MOVE: 'S' (pos: 3,27)
[2026-02-19 19:56:45] [ent@127.0.0.1] MOVE: nuova pos (4,27)
[2026-02-19 19:56:45] [ent@127.0.0.1] MOVE: 'S' (pos: 4,27)
[2026-02-19 19:56:45] [ent@127.0.0.1] MOVE: nuova pos (5,27)
[2026-02-19 19:56:46] [ent@127.0.0.1] MOVE: 'D' (pos: 5,27)
[2026-02-19 19:56:46] [ent@127.0.0.1] MOVE: nuova pos (5,28)
[2026-02-19 19:56:46] [ent@127.0.0.1] MOVE: 'D' (pos: 5,28)
[2026-02-19 19:56:46] [ent@127.0.0.1] MOVE: nuova pos (5,29)
[2026-02-19 19:56:46] [ent@127.0.0.1] MOVE: 'W' (pos: 5,29)
[2026-02-19 19:56:46] [ent@127.0.0.1] MOVE: nuova pos (4,29)
[2026-02-19 19:56:47] [ent@127.0.0.1] MOVE: 'W' (pos: 4,29)
[2026-02-19 19:56:47] [ent@127.0.0.1] MOVE: nuova pos (3,29)
[2026-02-19 19:56:47] [ent@127.0.0.1] MOVE: 'W' (pos: 3,29)
[2026-02-19 19:56:47] [ent@127.0.0.1] MOVE: nuova pos (2,29)
[2026-02-19 19:56:47] [ent@127.0.0.1] MOVE: 'W' (pos: 2,29)
[2026-02-19 19:56:47] [ent@127.0.0.1] MOVE: nuova pos (1,29)
[2026-02-19 19:56:48] [ent@127.0.0.1] MOVE: 'D' (pos: 1,29)
[2026-02-19 19:56:48] [ent@127.0.0.1] MOVE: nuova pos (1,30)
[2026-02-19 19:56:48] [ent@127.0.0.1] MOVE: 'D' (pos: 1,30)
[2026-02-19 19:56:48] [ent@127.0.0.1] MOVE: nuova pos (1,31)
[2026-02-19 19:56:48] [ent@127.0.0.1] MOVE: 'S' (pos: 1,31)
[2026-02-19 19:56:48] [ent@127.0.0.1] MOVE: nuova pos (2,31)
[2026-02-19 19:56:49] [ent@127.0.0.1] MOVE: 'W' (pos: 2,31)
[2026-02-19 19:56:49] [ent@127.0.0.1] MOVE: nuova pos (1,31)
